name	latitude	longitude	url	length	difficulty	streams	views	gain	solitude	camping	gain.per.mile	steepness
	 )	 "http://www.hikingupward.com"	 	 	 	 	 	 	 ));			
Little Fall Branch Falls	 35.75821	 -82.97711	 http://www.hikingupward.com/PNF/LittleFallBranchFalls/	 0.6	 1	 3	 0	 135	 4	 0	225	3
Beacon Heights	 36.08391	 -81.83011	 http://www.hikingupward.com/NCSP/BeaconHeights/	 0.8	 1	 0	 5	 180	 1	 0	225	3
Lower Cascade Falls	 36.41460	 -80.26477	 http://www.hikingupward.com/NCSP/LowerCascadeFalls/	 0.9	 1	 4	 0	 102	 3	 0	113.333333333333	1
Mingo Falls	 35.53401	 -83.27627	 http://www.hikingupward.com/NCSP/MingoFalls/	 1	 3	 5	 0	 640	 2	 0	640	5
Roaring Fork Falls	 35.76847	 -82.19530	 http://www.hikingupward.com/PNF/RoaringForkFalls/	 1.5	 1	 4	 0	 116	 3	 0	77.3333333333333	1
Upper Creek Falls	 35.95998	 -81.86107	 http://www.hikingupward.com/PNF/UpperCreekFalls/	 1.7	 3	 5	 2	 415	 3	 0	244.117647058824	4
Red Rock Wilderness	 39.11299	 -77.51011	 http://www.hikingupward.com/OVH/RedRockWilderness/	 1.7	 1	 4	 3	 190	 1	 0	111.764705882353	1
Little Lost Cove Cliffs	 36.01057	 -81.82586	 http://www.hikingupward.com/PNF/LittleLostCoveCliffs/	 1.8	 2	 0	 4	 525	 4	 3	291.666666666667	5
Camp Michaux	 40.03720	 -77.33844	 http://www.hikingupward.com/OPH/CampMichaux/	 2	 1	 3	 2	 290	 2	 0	145	2
Woodstock Tower	 38.86819	 -78.44207	 http://www.hikingupward.com/GWNF/WoodstockTower/	 2	 2	 0	 5	 510	 2	 0	255	4
Belle Isle	 37.52785	 -77.45632	 http://www.hikingupward.com/OVH/BelleIsle/	 2.1	 1	 4	 3	 55	 1	 0	26.1904761904762	1
Hoffler Creek	 36.89280	 -76.39578	 http://www.hikingupward.com/OVH/HofflerCreek/	 2.1	 1	 4	 3	 13	 3	 0	6.19047619047619	1
Scotts Run	 38.95873	 -77.20503	 http://www.hikingupward.com/OVH/ScottsRun/	 2.2	 2	 4	 3	 240	 1	 0	109.090909090909	1
Little Bearwallow Falls	 35.47343	 -82.33224	 http://www.hikingupward.com/NCSP/LittleBearwallowFalls/	 2.2	 2	 4	 0	 775	 2	 0	352.272727272727	5
Green Knob/Sims Creek	 36.14276	 -81.71942	 http://www.hikingupward.com/NCSP/GreenKnobSimsCreek/	 2.3	 2	 2	 2	 615	 4	 0	267.391304347826	5
Ingals Overlook	 38.05084	 -79.76613	 http://www.hikingupward.com/GWNF/IngalsOverlook/	 2.4	 1	 0	 3	 620	 4	 0	258.333333333333	4
Hidden Rocks	 38.44813	 -79.12205	 http://www.hikingupward.com/GWNF/HiddenRocks/	 2.5	 2	 2	 4	 390	 4	 2	156	2
Balls Bluff Battlefield	 39.13055	 -77.53080	 http://www.hikingupward.com/OVH/BallsBluffBattlefield/	 2.6	 1	 4	 2	 200	 1	 0	76.9230769230769	1
Glen Burney Trail	 36.13243	 -81.68061	 http://www.hikingupward.com/NCSP/GlenBurneyTrail/	 2.7	 3	 4	 0	 735	 2	 0	272.222222222222	5
Cumberland Knob	 36.55377	 -80.90697	 http://www.hikingupward.com/NCSP/CumberlandKnob/	 2.8	 3	 4	 1	 981	 5	 0	350.357142857143	5
Saddle Mountain	 36.50348	 -80.93451	 http://www.hikingupward.com/NCSP/SaddleMountain/	 2.9	 2	 0	 1	 860	 5	 0	296.551724137931	5
Mount Pisgah	 35.41537	 -82.74876	 http://www.hikingupward.com/PNF/MountPisgah/	 2.9	 3	 0	 5	 890	 0	 0	306.896551724138	5
Crabtree Falls	 35.81277	 -82.14368	 http://www.hikingupward.com/NCSP/CrabtreeFalls/	 3	 2	 5	 1	 740	 2	 3	246.666666666667	4
Tibbet Knob	 38.92404	 -78.68949	 http://www.hikingupward.com/GWNF/TibbetKnob/	 3.1	 2	 0	 5	 830	 3	 3	267.741935483871	5
Spy Rock	 37.84191	 -79.13126	 http://www.hikingupward.com/GWNF/SpyRock/	 3.1	 3	 0	 5	 1260	 3	 3	406.451612903226	5
Falls Ridge Preserve	 37.19323	 -80.32167	 http://www.hikingupward.com/OVH/FallsRidgePreserve/	 3.3	 2	 3	 0	 610	 4	 0	184.848484848485	3
Cedar Run	 38.55640	 -78.38642	 http://www.hikingupward.com/SNP/CedarRun/	 3.4	 3	 5	 1	 1510	 2	 1	444.117647058824	5
Wahrani Nature Trail	 37.50588	 -76.85952	 http://www.hikingupward.com/OVH/Wahrani/	 3.5	 2	 3	 1	 280	 3	 0	80	1
Frazier Discovery Trail	 38.25068	 -78.66733	 http://www.hikingupward.com/SNP/FrazierDiscovery/	 3.6	 2	 0	 4	 950	 2	 4	263.888888888889	4
Peaks Of Otter	 37.44539	 -79.60967	 http://www.hikingupward.com/JNF/PeaksOfOtter/	 3.6	 4	 0	 5	 1540	 2	 0	427.777777777778	5
Devils Bathtub	 36.81844	 -82.62787	 http://www.hikingupward.com/JNF/DevilsBathtub/	 3.6	 2	 5	 0	 580	 1	 1	161.111111111111	2
Dead Run	 38.96436	 -77.15294	 http://www.hikingupward.com/OVH/DeadRun/	 3.6	 2	 4	 1	 452	 2	 0	125.555555555556	1
School House Ridge	 39.30778	 -77.77762	 http://www.hikingupward.com/OWVH/SchoolHouseRidge/	 3.7	 1	 2	 3	 175	 3	 0	47.2972972972973	1
Stony Man Mountain	 38.59259	 -78.37558	 http://www.hikingupward.com/SNP/StonyMan/	 3.7	 1	 0	 5	 860	 1	 0	232.432432432432	4
